ids,date,user,replyCount,retweetCount,likeCount,lang,tweet,country,Emotion
1.51e+18,2022-04-08 15:55:43+00:00,m_munck,0,0,0,en,"Learn now,be safe tomorrow:HAM radio is a great communication tool for #Preppers
https://t.co/3tFW50PMc1
Notifications
Rex Manning
#FridayFeeling
#fridaymorning
Daily Quordle 74
Judge
Wordle 293 X
#FridayVibes
#RepBX
Yankees #Preppers #Prepping #Ukraine #UkraineInvasion",Ukraine,caring
1.51e+18,2022-04-08 15:55:43+00:00,XavierRyanXXX,0,0,0,en,The same people who are now the biggest supporters of Ukraine be like wut is the holodomor?,Ukraine,curiosity
1.51e+18,2022-04-08 15:55:43+00:00,wesruv,0,0,0,en,"Musk didn't found Tesla, isn't the lead spaceship designer at SpaceX, isn't self-made, isn't footing the bill for sending StarLink to Ukraine.

He is definitely a rich shit that pays/influences his way into people saying/thinking these things. He's Edison, not Tesla.",Ukraine,neutral
1.51e+18,2022-04-08 15:55:42+00:00,Aristomojo,0,0,0,en,@ClassicRockMag Simping for Ukraine is pathetic,Ukraine,neutral
1.51e+18,2022-04-08 15:55:42+00:00,Galina4551789,0,0,0,en,"@YourAnonNews russians are kidnapping children from Ukraine during war. They are going to get them adopted in russia or do smth else nobody knows. They already took 120000 kids, some were taken away from alive parents, they were separated. Is it possible for you somehow to find info about kids",Ukraine,neutral
1.51e+18,2022-04-08 15:55:42+00:00,valezhnik001,0,0,0,en,"@ElisaFerreiraEC Our homes are being wiped off the face of the earth.  Now the Easter holidays will begin all over Europe, while blood will be shed in Ukraine.  We are grateful for any support, but only armed support will help stop this darkness, this Russia. 

#Bucha #StopWar #StandWithUkraine",Ukraine,gratitude
1.51e+18,2022-04-08 15:55:41+00:00,f_longfield,0,0,0,en,"@cocotrolololo8 @OwenJones84 Russian armed forces need to be expelled frm Ukraine by force as they have been defeated and expelled from most of Ukraine so far.

You disagree? You think they should've been allowed into Kiev to massacre and butcher pple at will? Or do u believe in pple's right to self defence?",Ukraine,curiosity
1.51e+18,2022-04-08 15:55:40+00:00,TRUMP2024LETSGO,0,0,0,en,"@dreynders @EU_Commission @EU_Justice @MFA_Ukraine @ukraineoffice I heard they were screaming ""I'm dying""",Ukraine,neutral
1.51e+18,2022-04-08 15:55:39+00:00,KremlinTrolls,0,0,0,en,"Russia is attacking our account, deleting and restricting tweets to suppress evidence of war crimes in Ukraine.

Please ReTweet our pinned tweet",Ukraine,neutral
1.51e+18,2022-04-08 15:55:39+00:00,cynthacreates,0,0,0,en,"very grateful for my weird network of colleagues who have worked/lived in Ukraine, Poland, and Russia because they are the only things helping me keep a shred of sanity as I try to keep doing anything",Ukraine,gratitude
1.51e+18,2022-04-08 15:55:39+00:00,theoldmanrabbi,0,0,0,en,"@ChrisHu34451470 2/2 Difference? Israeli won 3 wars in a row. Hamas was isolated. Like Russia will be.

When Ukraine wins ... do you think all will be forgotten? Do you think the world will open their doors to Russia or will isolate it? Like the world has isolated Hamas",Ukraine,neutral
1.51e+18,2022-04-08 15:55:38+00:00,JackieA49470113,0,0,0,en,"@yermolenko_v ""Russians hate/dehumanize"" anyone who is not Russian.That makes it easier to kill the people in the countries they invade.Ukraine isn't the first and won't be the last if they are not stopped.Never let Russians settle in your country because eventually they will want to take it.",Ukraine,neutral
1.51e+18,2022-04-08 15:55:38+00:00,Fidget02,0,0,0,en,08/04/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified**  Large loud explosion followed by smaller ones in Kharkiv city centre about 30 minutes ago.,Ukraine,neutral
1.51e+18,2022-04-08 15:55:38+00:00,porto1958,0,0,0,en,"Puerto Rico: we are in a blackout. 
US Government: we are busy sending bombs to Ukraine.
Puerto Rico: we are a US territory.
US Government: 🖕",Ukraine,neutral
1.51e+18,2022-04-08 15:55:37+00:00,notweirdnormal,0,0,0,en,"@frederickcheng5 no European sacrifice is too great to ensure that the US can put military bases in Ukraine

Slava ukraini",Ukraine,neutral
1.51e+18,2022-04-08 15:55:37+00:00,kanyakornkorat1,0,0,0,en,"@nytimes Evidence that Ukraine fired rockets at Russian citizens                         1. Tochka rocket in service in the Ukrainian army. 2. The tail of a rocket that crashes in the city of Kramatorsk looks like a Ukrainian Tochka rocket. The Russian Iskander rocket has a narrow tail,",Ukraine,neutral
1.51e+18,2022-04-08 15:55:37+00:00,StefHolland1,0,0,0,en,"🤦🏻‍♂️🧐

Nato states agree to supply heavy weapons to Ukraine https://t.co/oc5lF1K1EH",Ukraine,approval
1.51e+18,2022-04-08 15:55:37+00:00,AcessDenied1,0,0,0,en,@Biz_Ukraine_Mag I'm at saturation point with the Russisns media shitshow. https://t.co/eS8G9Y72e6,Ukraine,neutral
1.51e+18,2022-04-08 15:55:37+00:00,JoinRejoinEU,0,0,0,en,"@ukraine_world Even Putin's mouthpiece looks uncomfortable saying all that bullshit. She probably even wrote it, and it sounded 'good' in her head. As soon as it comes out of her mouth though - wow.",Ukraine,surprise
1.51e+18,2022-04-08 15:55:36+00:00,komarnyckyj,0,0,1,en,#Ukraine are we going to let #Russia destroy an entire nation? The Kremlin is a serial perpetrator of genocide. https://t.co/KFr7Fzsn1i,Ukraine,anger
1.51e+18,2022-04-08 15:55:36+00:00,Center4SciHuman,0,0,0,en,"@MrAndyNgo Glad you're on the side of freedom/Ukraine, Andy, as certain conservatives (Trump, Tucker) seem to effectively be running interference for Russia, basically.",Ukraine,joy
1.51e+18,2022-04-08 15:55:36+00:00,corrie_hulse,0,0,0,en,"""With the world’s focus on Ukraine, we cannot forget other crises around the globe, especially as the economic impacts of the Russian invasion are being felt far and wide, and with the gap between humanitarian funding and soaring emergency aid needs already at record levels."" https://t.co/MZv9yaZVfg",Ukraine,realization
1.51e+18,2022-04-08 15:55:36+00:00,pip_dragon,0,0,0,en,"@robrobe61662689 @ErikBerger79 @redelpegeorge @TheEconomist Russia is the problem. Russia invaded in 2014, when Ukraine was NEUTRAL. 

The Russian language was NEVER repressed in Ukraine, not even now.

To say Ukraine is somehow responsible is sheer Russian propaganda.",Ukraine,neutral
1.51e+18,2022-04-08 15:55:35+00:00,Orgetorix,0,0,0,en,Russians- spending on food doubles following Ukraine war - https://t.co/zL0KLBceNo via @cyprusmail,Ukraine,neutral
1.51e+18,2022-04-08 15:55:35+00:00,BanooZan,0,0,0,en,"#Recording is now available: Poets in Respone to #Peril: #Canadian #poets responding to #Ukraine #War. Over 30 poets resfing &amp; 100 people joining. I appear at around minute 42. Thanks to @r_sitoski
https://t.co/XZkQluMO8z",Ukraine,gratitude
1.51e+18,2022-04-08 15:55:33+00:00,JauneJaunehendy,0,0,0,en,@RussianEmbassy @mod_russia @mfa_russia @RusembUkraine @InsiderDonbass @BBCWorld @SkyNews @ftworldnews @guardianworld @TelegraphWorld @RT_com You are telling lies. Your grandchildren will know the truth. Glory to Ukraine.,Ukraine,neutral
1.51e+18,2022-04-08 15:55:32+00:00,judka1,0,0,0,en,Ukraine Demolishes Putin's Super Tanks | What Explains The Huge Damage T... https://t.co/eNEf1ileIP via @YouTube,Ukraine,neutral
1.51e+18,2022-04-08 15:55:32+00:00,PornStarIsCool,0,0,0,en,@romanoperrier @Kasparov63 This is why Ukraine needs to win this war!,Ukraine,neutral
1.51e+18,2022-04-08 15:55:32+00:00,FlNLlN,0,0,0,en,"After the chaos has now paused I simply cannot believe that in the span of a month my family was evicted, my uncle died, I went to a wedding, I went to a concert, war started in Ukraine, I box dyed my hair blonder, joined two clubs, and I fell into an Intense mental spiral",Ukraine,sadness
1.51e+18,2022-04-08 15:55:32+00:00,GoDharmic,0,0,0,en,"We love the reference to Robert Frost’s “The Road Not Taken”!
John Klock, a GD volunteer from USA, was serving the people &amp; doing exceptional work at the Poland-Ukraine border. His compassion &amp; dedication to human life should move everyone to love &amp; be kind.

#Ukraine #godharmic https://t.co/1xBT2XAPiT",Ukraine,admiration
1.51e+18,2022-04-08 15:55:32+00:00,Anoutsid3r,0,0,0,en,@RF_OSCE @mfa_russia You aren't the victims. #Ukraine,Ukraine,neutral
1.51e+18,2022-04-08 15:55:31+00:00,slidingspaces,0,0,0,en,@MalachiCnft Note the blue yellow ears in solidarity with Ukraine.,Ukraine,neutral
1.51e+18,2022-04-08 15:55:30+00:00,glinch72,0,0,0,en,@BL20422822 @6lennybravo @fishyfish67 @DelusionsMass @ALefty123 @BellRoniBell @JohnOz1900 @Barbarajdurkin @RustyAway @Neilcharles1450 @DamienHamilto17 @RAM0667 @insane_voice @biffmack @Racing_Mackay @Jaisans @Anvndarnamn5 @jpgcrowley @GaryWHall @cbeckj @Lorrilala @aSinister @andyboulo @ponycar06 @MedBennett @canalzone68 @KevinSecular2 @AlexVickeryHowe @SeanFlan45 @Narvuntien @brandondaly2018 @IngersolRobert @TobyRayEnglish @ItsTheAtmospher @Ceist8 @ChrisBBacon3 @Jonnyporkchop @pauladamsalber1 @TomPlesier @janggly @NeatCraftsmen @TheDisproof @10kClimate @ozzorro1 @robhon_ @LouisCy72344053 @The_Doctor_Why @GeraldKutney @JohnDublin10 @PoeBrianL Nobody supports nazis in Ukraine,Ukraine,neutral
1.51e+18,2022-04-08 15:55:30+00:00,Butenkieler1978,0,0,0,en,"@vonderleyen @JosepBorrellF Pls try your best to turn this clear message into the support the Ukraine needs. It is important that EU speaks and most importantly acts with one one voice here. For Ukraine, for our children in Western Europe and their children",Ukraine,neutral
1.51e+18,2022-04-08 15:55:30+00:00,BOudenhooven,0,0,0,en,@lesiavasylenko Exactly EU must match what they give Russia and give that to Ukraine.,Ukraine,neutral
1.51e+18,2022-04-08 15:55:30+00:00,prominentplay,0,0,0,en,@BenTelerski What is their position on Ukraine?,Ukraine,neutral
1.51e+18,2022-04-08 15:55:30+00:00,M_R_TEMPEL,0,0,0,en,"“Mriya aid leverages our network of experts in logistics , contracting , defence and security , procurement and fundraising to secure and transport to our boots on de ground on Ukraine’s border “ 

https://t.co/2R5uf2Psa7",Ukraine,neutral
1.51e+18,2022-04-08 15:55:29+00:00,Beria2022,0,0,0,en,"If indeed you care so much about thousands of meaninglessly killed Russian soldiers in Ukraine go for Putin and not for one of the last journalist left in Russia, Muratov. https://t.co/uUcU9C8kvV",Ukraine,neutral
1.51e+18,2022-04-08 15:55:29+00:00,HarryMbike,0,0,0,en,"@cocotrolololo8 @OwenJones84 It's also exceptionally hard to see how giving Russia Donbass is any more anti-war than giving Hitler Sudetenland was. Putin clearly wants all of Ukraine,  he would have just gone to war again.",Ukraine,neutral
1.51e+18,2022-04-08 15:55:29+00:00,KingsCDS,0,0,0,en,Russia and the UK: The Integrated Review in light of Russia's war in Ukraine | @MaxineDavid &amp; @NKuhrt write the first essay in a new volume reflecting on the UK Integrated Review one year on @KCLSecurity @KingsCDS https://t.co/hycy1BbuOe,Ukraine,neutral
1.51e+18,2022-04-08 15:55:29+00:00,safetywing,1,0,0,en,"UPDATES AS OF APRIL 8th:

Here is the latest info on resources for anyone affected by the war in Ukraine:

• Canada released information for Ukrainian refugees to apply for emergency travel authorization/temporary residence programs, and work permits: https://t.co/Dbvy5fwIyD",Ukraine,neutral
1.51e+18,2022-04-08 15:55:29+00:00,NompumeleloAma1,0,0,0,en,"@officialgash1 Your greedy gov happened, accompanied by the Russian Ukraine thing",Ukraine,neutral
1.51e+18,2022-04-08 15:55:29+00:00,GoestoOfficial,0,0,0,en,"@ikroosh @VeraVanHorne A preliminary analysis of Tochka-U's trajectory by Russian experts revealed that the missile had arrived from the south-west, an area under the control of the Armed Forces of Ukraine.
The maximum flight range of the Tochka-U missile is 120 km without maneuverability 01 https://t.co/qziUqayUdB",Ukraine,neutral
1.51e+18,2022-04-08 15:55:29+00:00,RaulOcaranza1,0,0,0,en,"Today...
marks 1 month of International Women's Day...
It seems appropriate to remember 

Irina Tsvila, 

as the 1 woman to die in combat for her (everyone's) homeland: Ukraine

#love #respect #Courage #bravery #inclusion 
#leaders #Entrepreneurs #Union #Peace 
#TogetherStronger https://t.co/jHJ50ZL2Dd",Ukraine,neutral
1.51e+18,2022-04-08 15:55:29+00:00,PoesieD_Olivier,0,0,0,en,"Some notes of sweetness,
Under the sun tenderness,
May they come to you,
May they arrive in #Ukraine too 🕊️☮️ https://t.co/iUn5tEP96U",Ukraine,caring
1.51e+18,2022-04-08 15:55:29+00:00,Zennistrad,0,0,0,en,@LGBTankie @realPhoenixFire The USSR never aimed to make Manchuria part of its own territory. The Russian Federation explicitly wants to do so to Ukraine.,Ukraine,neutral
1.51e+18,2022-04-08 15:55:29+00:00,aw_journal2021,0,0,0,en,Ukraine war: 39 dead in explosion at railway station as wrecked missile has ‘for what has been done to the children’ painted on it in Russian | World News https://t.co/sWue6jqHac,Ukraine,neutral
1.51e+18,2022-04-08 15:55:29+00:00,Bagherzadeh,0,0,0,en,John Mearsheimer - What Should Ukraine Do &amp; Is Russia Losing The War Due... https://t.co/j5ryKhRFPF via @YouTube,Ukraine,neutral
1.51e+18,2022-04-08 15:55:28+00:00,DecodingTrolls,0,0,0,en,"@OxanaShevel Occam's razor helps here, even without knowing the facts: Which side actually invaded Ukraine, a sovereign state? Does it assume less that the aggressor wrote ""for children"" on a cluster munition carrying rocket? Yeph. QED. Was Russia wot did it. https://t.co/GbuBzTvGSx",Ukraine,neutral
1.51e+18,2022-04-08 15:55:28+00:00,amdalvord,0,0,0,en,Ukraine says Russian strike on train station kills dozens trying to flee https://t.co/UTECaGomU4,Ukraine,neutral
1.51e+18,2022-04-08 15:55:27+00:00,Claudet10142013,0,0,0,en,"President Biden (@POTUS) Tweeted:
I want to be clear: We will defend every inch of NATO territory with the full might of a united and galvanized NATO.

But we will not fight a war against Russia in Ukraine.
 
A direct confrontation between NATO and Russia  https://t.co/ABI7r2spKP",Ukraine,neutral
1.51e+18,2022-04-08 15:55:27+00:00,MrWhisporz,0,0,0,en,@RandyRRQuaid Romenys son also worked for a Ukraine gas company that paid him millions. His son also has no experience and didnt show up for work to get those millions. Romney is just the democrats B now.,Ukraine,neutral
1.51e+18,2022-04-08 15:55:27+00:00,camlt_04,0,0,0,en,@LTRR2000 @PravinSawhney Wtf is the US supposed to do with Ukraine? The east fears the US military so much Putin threatened the entire safety of the planet to avoid direct conflict with America,Ukraine,confusion
1.51e+18,2022-04-08 15:55:27+00:00,MarymoBelfast,0,0,0,en,"@DanielleNoahsA1 Never anything. That's why I have absolutely no faith in the government, anywhere. Not our own either. They're standing up giving speeches about Russia and Ukraine, but this is ok? Bandwagon sympathy. Turns me sour",Ukraine,annoyance
1.51e+18,2022-04-08 15:55:27+00:00,guyelster,0,0,0,en,PM Johnson says UK will supply #Ukraine with a new batch of weapons,Ukraine,neutral
1.51e+18,2022-04-08 15:55:26+00:00,SenatorWicker,1,1,0,en,"Ukraine is asking for more support as Russia regroups for new attacks. @SECDEF told me today that the U.S. still has not gotten the Ukrainians all the weapons they have asked for. This needs to change.

https://t.co/BaiooODVKp",Ukraine,neutral
1.51e+18,2022-04-08 15:55:26+00:00,cz_binancian,0,0,0,en,Ukrainian president Zelensky is color xerox of arvind kejliwal... 24x7 on TV or begging world parliaments and blaming @KremlinRussia_E for everything... He is the villain in first place for destruction of ukraine. #RussiaUkraineConflict,Ukraine,neutral
1.51e+18,2022-04-08 15:55:26+00:00,stemilenko,0,0,0,en,@ALTMISSEKIZLI @MeilutyteRuta Interesting that this question is never answered by people supporting Ukraine. Or hating Russia.,Ukraine,neutral
1.51e+18,2022-04-08 15:55:26+00:00,livdose,0,0,0,en,"50, Including 5 Children, Killed In Ukraine Train Station Attack: 10 Points https://t.co/NC6FoM0vHM",Ukraine,neutral
1.51e+18,2022-04-08 15:55:25+00:00,Florin_Uncovers,0,0,0,en,"@EliotHiggins The message ""For our kids"" could be in reference to the children killed in Zugres in a 2014 attack attributed to Ukraine.
The missiles that hit the Kramatorsk station today killing many seem to have been launched from the Russian controlled Zugres area.
https://t.co/IMh0fnftEi",Ukraine,neutral
1.51e+18,2022-04-08 15:55:24+00:00,LilySheldon17,0,0,0,en,"@SavvyTroll @McFaul @Ruffitup And in considering that difference, especially compared to the many  ""proxy"" wars between the US &amp; Soviets, does it point to Russia trying to use Ukraine to provoke WWIII?",Ukraine,neutral
1.51e+18,2022-04-08 15:55:24+00:00,Asiootus11,0,0,0,en,@vonderleyen @JosepBorrellF What about atrocities in the last 8 years from Azov who killed more than 14000 russian people in Ukraine ? Just asking ...,Ukraine,curiosity
1.51e+18,2022-04-08 15:55:24+00:00,snitsova,0,0,0,en,"Though we should also keep in mind that Russia's war against Ukraine might shift the balance between economic interests and security concerns at the global level. In fact, we are seeing signs of this happening already. All tensions to watch closely🤓",Ukraine,realization
1.51e+18,2022-04-08 15:55:23+00:00,jackquack16,0,0,0,en,"Ukraine state-affiliated media #LBC  never report on USA import of Russian oil up 43% last week.

Or USA dropping its sanctions on Russian fertiliser. https://t.co/UTuG6lH76M",Ukraine,neutral
1.51e+18,2022-04-08 15:55:23+00:00,PolTrad,0,0,0,en,"@PhilJohnGoode1 @IanDunt @RichardBentall He was wrong on NATO, just as pitifully as Merkel and Sarkozy were to block Ukraine joining. Putin would not be committing war crimes on civilians if Ukraine had been allowed to join NATO. NATO is all that prevents fascist Putin invading other neighbouring countries.",Ukraine,neutral
1.51e+18,2022-04-08 15:55:22+00:00,OKP12355600,0,0,0,en,"@EUDELCoE @coe Nazies terrorize own Ukrainian civilians. Men stopped and beaten up on the street. You can hear voice of a man asking ""Why you do it to us? Please explain us."", and voice of Nazi demanding to shout ""Glory to Ukraine!"". One man is striped and God knows what nazis will do to him 🤬 https://t.co/D3b8JSCNM7",Ukraine,neutral
1.51e+18,2022-04-08 15:55:22+00:00,ScottTheWriter,0,0,0,en,"In 1942 Ukraine, the occupying Germans were not the only enemy UNDER THE NAZI HEEL  https://t.co/UXjheRlIfE https://t.co/uYBKZSRsQ5",Ukraine,neutral
1.51e+18,2022-04-08 15:55:22+00:00,Johnyrocket69,0,0,0,en,Kadyrov's Tik Tok Army found another door and stop sign to assault. #Ukraine  https://t.co/6a6RZUe012,Ukraine,neutral
1.51e+18,2022-04-08 15:55:22+00:00,Costumbrist,0,0,0,en,"@KortkampJanice @PhilippeErrera @Amb_Ulyanov ""Anything is possible"" -- wow, thank you for revealing yourself. Maybe it was Indonesia? Or Guam? Maybe they want to start a world war?? Anything is possible!

Are there fascists in Ukraine's army? Yes. Does that lend Russia's ""de-nazification"" war any legitimacy? No. Get a grip.",Ukraine,gratitude
1.51e+18,2022-04-08 15:55:21+00:00,Article025,0,0,0,en,"Ukraine’s disappeared

https://t.co/eiOw8NOdMl",Ukraine,neutral
1.51e+18,2022-04-08 15:55:21+00:00,JanetWa94118686,0,0,0,en,"Beltway Insider: Biden/Title 42, Ukraine War, Russia/Wagner Group COVID/Vaccine Totals, Jen Psaki, Will Smith https://t.co/VKKMDcR9Os",Ukraine,neutral
1.51e+18,2022-04-08 15:55:21+00:00,WINDSONG58,0,0,0,en,"Europe’s lying about Ukraine, w Stephen Fry. https://t.co/yTYUYmjhxd via @YouTube",Ukraine,neutral
1.51e+18,2022-04-08 15:55:20+00:00,chanastrobabe,0,0,1,en,@Juliehorvath09 There was actually the 22° ♑︎ Mars - Venus conjunction too on 2/24 which was the date Russia invaded Ukraine,Ukraine,neutral
1.51e+18,2022-04-08 15:55:20+00:00,WFXBFOXTV,0,0,0,en,"Ukraine war could last for years as Putin still wants the ""whole of Ukraine,"" NATO chief warns. https://t.co/XSECRGJmy2",Ukraine,neutral
1.51e+18,2022-04-08 15:55:19+00:00,browngravy_93,0,0,0,en,"@EllenSpivak @jasonselvig stupid joe biden was paid by Ukraine and China and
on and on.
the Trump was paid by Putin is a LIE",Ukraine,neutral
1.51e+18,2022-04-08 15:55:19+00:00,brann_marie,0,0,0,en,@brokenpixelua 🙏 4 u. Stay safe Vlad! We need you to make films after Ukraine wins the war!!!!!,Ukraine,caring
1.51e+18,2022-04-08 15:55:19+00:00,BasirBahrami1,0,0,0,en,@UNICEFData @IOM_GMDAC @IdacM @EU_Eurostat @OECD @OECD_Centre @OECD_Stat @unhcrdata All the world looking for the situation of Ukraine but unfortunately the un and the world are doesn't pay attention to the situation of Afghanistan right now,Ukraine,neutral
1.51e+18,2022-04-08 15:55:18+00:00,Davemaster84,0,0,1,en,@lesiavasylenko Not onyl the EU but the rest of the world should be arming Ukraine to stop this war asap ❤️🇺🇦,Ukraine,approval
1.51e+18,2022-04-08 15:55:18+00:00,SorenMcCarthy,0,0,0,en,"@cueninja @I_XI_C @race31x @RepThomasMassie It’s a full court press. Growing up, I was fascinated by The Spanish Civil. So many mistakes. I started to see Syria as a similar test of resolve through proxies. The strong  EU response to the Ukraine invasion was lessons learned from Spain ‘36, Sudetenland’38",Ukraine,approval
1.51e+18,2022-04-08 15:55:18+00:00,TheFamousMuslim,0,0,0,en,Meanwhile America has allied with Nazis in Ukraine. What's more crazy is that the President of Ukraine is Jewish. #Ukrainian #UkraineRussianWar #NaziUkraine #UkraineUnderAttack #AmericaFirst https://t.co/I9LbnaXh6g,Ukraine,neutral
1.51e+18,2022-04-08 15:55:18+00:00,JamesReifsteck,0,0,0,en,NATO and America are willing to continue let innocent civilians in Ukraine be killed so that their people are safe from harm. Every american should be ashamed at what their government willingly lets happen. America willingly lets other die so that their people dont have to.,Ukraine,embarrassment
1.51e+18,2022-04-08 15:55:17+00:00,RodericTurn,0,0,0,en,@AfricanCrazy20 @TelegraphWorld @Telegraph @RolandOliphant Prove they used them in Ukraine or your statement has no value. They use Iskander missiles in Ukraine. Even the Ukrainians said that it was Iskander missiles that were used before retracting themselves.,Ukraine,neutral
1.51e+18,2022-04-08 15:55:17+00:00,surferocrypto,0,0,0,en,"@djdougze @FirstSquawk It kills the enemy trying to kill civilians in Ukraine, once a lot of the enemy is dead negotiations are easier, simple",Ukraine,neutral
1.51e+18,2022-04-08 15:55:17+00:00,SFunksta,0,0,0,en,@RandyBack4More @Yahoo What’s also scary is that a good portion of the world’s neon (more than half I think) is obtained from Ukraine. Neon is a vital component in the lasers that are used to make semiconductors.,Ukraine,fear
1.51e+18,2022-04-08 15:55:17+00:00,KarmoJoseph,0,0,0,en,"@bguz824 @GeraldoRivera If that was Don Jr. they would’ve hung him from the gallows like the fascist mob did Mussolini. It’s like the title of Don Jr’s book “Liberal Privilege”. 

1.) Media is lying to coverup Hunter Biden, make it like he doesn’t exist. 

2.)Media only telling half the story in Ukraine",Ukraine,neutral
1.51e+18,2022-04-08 15:55:16+00:00,AdyG28,0,0,0,en,"#WarCrimes 
All wars should be considered crimes, when do you start  enforcing anything when you can't touch the most powerful in the world? Agent Orange, Napalm &amp; Depleted uranium warheads by US. Chemical weapons in the Middleeast. civilians in Ukraine/Palestinian/Yemen/Iraq etc",Ukraine,neutral
